threshold_value,bets,roi,accuracy,profit
0.01,28189,-0.07968498350420376,0.38465358827911594,-2246.24
0.02,21025,-0.084969322235434,0.40889417360285374,-1786.48
0.03,16822,-0.08197003923433599,0.4214124360955891,-1378.9
0.04,13684,-0.08282885121309559,0.4241449868459515,-1133.43
0.05,10932,-0.09199963410171973,0.418313208927918,-1005.74
0.06,8556,-0.09126110331930809,0.4104721832632071,-780.83
0.07,6537,-0.08518433532201317,0.4030901024934985,-556.85
0.08,4756,-0.09798570227081581,0.38561816652649283,-466.02
0.09,3339,-0.12486373165618449,0.36208445642407905,-416.92
0.1,2282,-0.13982033304119196,0.34574934268185803,-319.07000000000005
0.11,1468,-0.16681198910081743,0.31743869209809267,-244.88
0.12,899,-0.18764182424916573,0.29588431590656283,-168.69
0.13,516,-0.20069767441860464,0.28294573643410853,-103.56
0.14,269,-0.20895910780669147,0.26765799256505574,-56.21000000000001
0.15,112,-0.3828571428571429,0.20535714285714285,-42.88
